Stadtteil;B_Bev;B_Bev18;B_Bev18_rel;B_Bev65;B_Bev65_rel;B_BevAusl;B_BevAusl_rel;B_BevMigr;B_BevMigr_rel;B_BevMigr18;B_BevMigr18_rel;H_Haushalt;H_HaushaltPers;H_EinpersHaushalte;H_EinpersHaushalte_rel;H_KindHaushalte;H_KindHaushalte_rel;H_Alleinerziehende;H_Alleinerziehende_rel;F_Flaeche;F_BevDichte;E_Geburten;E_Sterbefaelle;E_Zuzuege;E_Fortzuege;E_WanderungsSaldo;A_SozVersBeschaeftigte;A_Beschaeftigte_rel;A_Arbeitslose;A_Arbeitslose_rel;A_JungeArbeitslose;A_JungeArbeitslose_rel;A_AlteArbeitslose;A_AlteArbeitslose_rel;L_LeistungsemSGB;L_LeistungsemSGB_rel;L_Mindestsich15;L_Mindestsich15_rel;L_BedarfsgemSGB;L_Grundsich65;L_Grundsich65_rel;W_Wohngebaeude;W_Wohnungen;W_WohnungenBezugsf;W_WohnungenEinZweiFH;W_WohnungenEinZweiFH_rel;W_Wohnungsgroesse;W_WohnflaecheEinw;W_Sozialwohnungen;W_Sozialwohnungen_rel;W_SozialwohnungenBindungsauslauf;W_SozialwohnungenBindungsauslauf_rel;W_PreiseGrundstuecke;W_PreiseEinZweiFH;W_PreiseEigentumsW;VS_Kindergaerten;VS_Grundschulen;VS_SchuelerSek1;VS_SchuelerStadtteilschulen_rel;VS_SchuelerGymnasien_rel;VA_Aerzte;VA_Allgemeinaerzte;VA_Zahnaerzte;VA_Apotheken;P_PrivatePKW;P_PKWDichte;P_ElektroPKW
Langenhorn;45666;7967;17.4;8833;19.3;6600;14.5;14170;31.0;3564;44.9;23382;1.9;11323;48.4;4694;20.1;1179;25.1;13.4;3416;514;514;4663;4688;-25;18342;60.9;1341;4.5;135;2.8;247;4.2;4368;9.6;1252;18.7;2264;608;6.9;9345;21878;309;8427;38.5;75.8;36.3;1905;8.7;218;11.4;389;3227;3138;25;5;2405;53.6;42.3;87;21;22;8;16876;370;32
Eilbek;22233;2586;11.6;3288;14.8;3417;15.4;7065;31.8;1374;53.5;14607;1.5;9582;65.6;1699;11.6;411;24.2;1.8;12695;288;193;3252;3087;165;11147;66.9;670;4.0;34;1.6;120;5.3;1468;6.6;354;15.4;882;267;8.1;1567;13365;76;209;1.6;62.6;37.6;436;3.3;86;19.7;1157;;4171;13;3;635;49.8;46.5;36;12;24;3;6295;283;5
Wandsbek;36149;4907;13.6;6491;18.0;6638;18.4;13222;36.5;3041;62.0;21724;1.6;13302;61.2;2872;13.2;721;25.1;5.9;6082;405;372;4997;4683;314;16325;64.3;1231;4.8;124;3.3;200;5.0;3660;10.1;1060;24.8;1921;515;7.9;3926;20184;257;2270;11.2;64.8;36.2;930;4.6;105;11.3;563;3852;3642;16;4;1322;54.8;41.7;70;27;45;9;11484;318;27
Marienthal;13382;2014;15.1;2766;20.7;1533;11.5;3697;27.6;814;40.5;7197;1.8;3796;52.7;1261;17.5;226;17.9;3.2;4165;140;178;1727;1584;143;5372;60.3;284;3.2;22;1.5;70;4.7;598;4.5;147;8.6;354;99;3.6;2159;7080;475;1585;22.4;86.5;45.8;25;0.4;1;4.0;757;4904;3850;9;1;557;29.4;68.2;83;18;14;4;5347;400;14
Jenfeld;27084;5307;19.6;4749;17.5;7063;26.1;15687;58.0;4082;77.5;13244;2.0;6437;48.6;2868;21.7;838;29.2;5.0;5426;284;335;3151;2353;798;9066;50.7;1333;7.5;127;3.4;220;6.4;5655;20.9;1731;38.9;2595;861;18.1;2744;11404;351;2158;18.9;72.8;30.6;1400;12.3;247;17.6;489;3511;2935;19;4;1662;65.4;30.0;34;15;18;5;7728;285;3
Tonndorf;15104;2635;17.4;2692;17.8;2573;17.0;6110;40.5;1590;60.4;8263;1.9;4315;52.2;1605;19.4;385;24.0;3.9;3832;164;119;1828;1578;250;6266;61.5;511;5.0;44;2.8;105;5.9;1543;10.2;443;19.9;809;235;8.7;2340;7624;195;1788;23.5;76.3;38.5;817;10.7;74;9.1;510;3840;3185;5;1;757;56.3;39.6;19;6;10;3;5636;373;18
Farmsen-Berne;34689;6150;17.7;6790;19.6;4244;12.2;10912;31.5;2900;47.4;17930;1.9;8555;47.7;3762;21.0;1009;26.8;8.2;4217;357;395;2999;2995;4;14164;62.4;909;4.0;84;2.4;179;3.8;3355;9.7;1047;20.1;1636;455;6.7;6506;17079;230;5768;33.8;76.2;37.5;1307;7.7;70;5.4;550;3406;3116;22;4;1953;54.9;40.7;42;17;16;5;13179;380;7
Bramfeld;52498;7771;14.8;11284;21.5;6544;12.5;15778;30.1;3633;47.0;30080;1.8;16133;53.6;4979;16.6;1454;29.2;10.1;5215;516;602;4746;4492;254;21873;63.2;1559;4.5;135;2.7;309;4.3;5058;9.6;1340;20.3;2888;786;7.0;9126;28254;281;7604;26.9;71.3;38.4;1927;6.8;579;30.0;547;3629;3466;25;5;2303;52.9;43.6;71;32;39;10;20711;395;95
Steilshoop;19723;3943;20.0;3868;19.6;4820;24.4;10450;53.0;2920;74.2;9814;2.0;4583;46.7;2200;22.4;699;31.8;2.5;7894;210;200;1518;1484;34;6745;53.7;979;7.8;100;4.4;158;6.7;4550;23.1;1491;45.2;1935;510;13.2;958;8852;1;336;3.8;74.0;33.2;2853;32.2;802;28.1;504;;2970;12;3;1321;69.3;26.6;9;7;8;2;5667;287;0
Wellingsbüttel;10592;1924;18.2;2998;28.3;673;6.4;1901;17.9;507;26.2;5180;2.1;2123;41.0;1143;22.1;141;12.3;4.1;2592;82;136;1000;931;69;3191;53.2;123;2.1;;;29;2.2;134;1.3;29;1.8;89;23;0.8;2906;5236;133;2731;52.2;119.9;59.3;22;0.4;22;100.0;928;5564;4265;7;1;625;20.6;77.1;25;7;12;2;5351;505;16
